timestamp,symbol,name,source,source_specificity,attention_rank,attention_signal,joined_context,event_cluster_status,source_independence_status,decision,priority,evidence,missing_data,next_probe,research_reference
2026-06-09T00:50:34.322328+00:00,DEUS,XMAQUINA,coingecko_trending,ticker_mapped,1,trending_rank=1; 24h_change=29.658014134732124,price=attention_breakout_continuation_watch; side=long_momentum_watch; score=47.08665576,single_event_context; sources=1; top=attention_price,,ticker_specific_attention_alpha_candidate,153.77166394,trending_rank=1; 24h_change=29.658014134732124 || rank=1; price_1h=-1.77; price_24h=28.64; price_7d=8.22; price_30d=0.00; volume_to_mcap=0.1774,"source-account identity, repeated observations, and 15m/1h/4h return labels","paper-label DEUS ticker-specific attention against price, funding, and depth",https://www.sciencedirect.com/science/article/abs/pii/S0378426625001384
2026-06-09T00:50:34.322328+00:00,H,Humanity,coingecko_trending,ticker_mapped,2,trending_rank=2; 24h_change=-88.35852720835663,price=attention_capitulation_reversal_watch; side=watch_reversal_or_no_trade; score=44.00000000,single_event_context; sources=1; top=attention_price,,ticker_specific_attention_alpha_candidate,150.00000000,trending_rank=2; 24h_change=-88.35852720835663 || rank=2; price_1h=-33.06; price_24h=-89.84; price_7d=-89.13; price_30d=-64.05; volume_to_mcap=3.5189,"source-account identity, repeated observations, and 15m/1h/4h return labels","paper-label H ticker-specific attention against price, funding, and depth",https://www.sciencedirect.com/science/article/abs/pii/S0378426625001384
2026-06-09T00:50:34.322328+00:00,HYPE,Hyperliquid,coingecko_trending,ticker_mapped,3,trending_rank=3; 24h_change=2.259297876432814,price=attention_price_lag_candidate; side=long_attention_lag; score=32.73478883,"two_source_event_pressure; sources=2; top=attention_price, rss:coindesk",,dedupe_news_before_attention_label,144.18369721,trending_rank=3; 24h_change=2.259297876432814 || rank=3; price_1h=-1.58; price_24h=1.21; price_7d=-15.20; price_30d=44.86; volume_to_mcap=0.0665,"ticker-level source account identity, RSS/event dedupe, and timestamp control",label HYPE ticker attention separately from RSS/exchange event pressure,https://www.sciencedirect.com/science/article/abs/pii/S0378426625001384
2026-06-09T00:50:34.322328+00:00,ZEC,Zcash,coingecko_trending,ticker_mapped,7,trending_rank=7; 24h_change=2.7051476201537614,price=attention_price_lag_candidate; side=long_attention_lag; score=35.49373611,"two_source_event_pressure; sources=2; top=attention_price, rss:decrypt",single_source_supported_story,dedupe_news_before_attention_label,142.87343403,trending_rank=7; 24h_change=2.7051476201537614 || rank=7; price_1h=-1.41; price_24h=2.96; price_7d=-17.20; price_30d=-24.50; volume_to_mcap=0.1267,"ticker-level source account identity, RSS/event dedupe, and timestamp control",label ZEC ticker attention separately from RSS/exchange event pressure,https://www.sciencedirect.com/science/article/abs/pii/S0378426625001384
2026-06-09T00:50:34.322328+00:00,SOL,Solana,coingecko_trending,ticker_mapped,5,trending_rank=5; 24h_change=-1.2170190294046033,price=attention_capitulation_reversal_watch; side=watch_reversal_or_no_trade; score=34.60188806,"two_source_event_pressure; sources=2; top=attention_price, exchange_catalyst",,dedupe_news_before_attention_label,138.65047201,trending_rank=5; 24h_change=-1.2170190294046033 || rank=5; price_1h=-1.97; price_24h=-2.07; price_7d=-19.34; price_30d=-29.89; volume_to_mcap=0.0852,"ticker-level source account identity, RSS/event dedupe, and timestamp control",label SOL ticker attention separately from RSS/exchange event pressure,https://www.sciencedirect.com/science/article/abs/pii/S0378426625001384
2026-06-09T00:50:34.322328+00:00,WLD,Worldcoin,coingecko_trending,ticker_mapped,6,trending_rank=6; 24h_change=2.5502892834786772,price=attention_chase_risk; side=wait_or_fade_watch; score=36.22682841,"two_source_event_pressure; sources=2; top=attention_price, rss:cointelegraph",,dedupe_news_before_attention_label,136.05670710,trending_rank=6; 24h_change=2.5502892834786772 || rank=6; price_1h=-1.15; price_24h=2.29; price_7d=14.14; price_30d=81.13; volume_to_mcap=0.4378,"ticker-level source account identity, RSS/event dedupe, and timestamp control",label WLD ticker attention separately from RSS/exchange event pressure,https://www.sciencedirect.com/science/article/abs/pii/S0378426625001384
2026-06-09T00:50:34.322328+00:00,BEAT,Audiera,coingecko_trending,ticker_mapped,9,trending_rank=9; 24h_change=22.54382580539556,price=attention_chase_risk; side=wait_or_fade_watch; score=29.70618105,single_event_context; sources=1; top=attention_price,,ticker_specific_attention_alpha_candidate,125.42654526,trending_rank=9; 24h_change=22.54382580539556 || rank=9; price_1h=-0.00; price_24h=18.65; price_7d=276.41; price_30d=789.64; volume_to_mcap=0.0541,"source-account identity, repeated observations, and 15m/1h/4h return labels","paper-label BEAT ticker-specific attention against price, funding, and depth",https://www.sciencedirect.com/science/article/abs/pii/S0378426625001384
2026-06-09T00:50:34.322328+00:00,BTC,Bitcoin,coingecko_trending,ticker_mapped,8,trending_rank=8; 24h_change=-1.6205877997428064,no joined market context,"multi_source_event_pressure; sources=3; top=rss:coindesk, rss:cointelegraph, rss:decrypt",pending_archive_before_independence,source_quality_required,101.00000000,trending_rank=8; 24h_change=-1.6205877997428064,"market context, venue support, and forward labels",collect market context for BTC before treating attention as alpha,https://www.sciencedirect.com/science/article/abs/pii/S0378426625001384
2026-06-09T00:50:34.322328+00:00,PENGU,Pudgy Penguins,coingecko_trending,ticker_mapped,4,trending_rank=4; 24h_change=-4.173612662617081,no joined market context,no event cluster,,source_quality_required,78.00000000,trending_rank=4; 24h_change=-4.173612662617081,"market context, venue support, and forward labels",collect market context for PENGU before treating attention as alpha,https://www.sciencedirect.com/science/article/abs/pii/S0378426625001384
2026-06-09T00:50:34.322328+00:00,VVV,Venice Token,coingecko_trending,ticker_mapped,10,trending_rank=10; 24h_change=-3.563702626096199,no joined market context,no event cluster,,source_quality_required,60.00000000,trending_rank=10; 24h_change=-3.563702626096199,"market context, venue support, and forward labels",collect market context for VVV before treating attention as alpha,https://www.sciencedirect.com/science/article/abs/pii/S0378426625001384
