candidate_id,observed_at,market,theme,decision,instrument,reference_or_hedge,anchor,context,primary_horizon,secondary_horizon,path_check,invalidation,primary_metric
zec-carry-relative-long-20260609T2245Z,2026-06-09T22:45:18Z,crypto_perp,funding_relative_strength,paper_long,ZEC,BTC_ETH_basket,439.2900,"funding_ann=-0.358496; spread_bps=2.0450; depth10=64355; volume24h=392938372",1h,4h,15m adverse excursion only,"ZEC underperforms BTC/ETH basket after rough costs or funding flips materially positive","relative return vs BTC/ETH basket minus spread and simple taker-cost proxy"
morpho-carry-strength-long-20260609T2245Z,2026-06-09T22:45:18Z,crypto_perp,funding_relative_strength,paper_long,MORPHO,BTC_ETH_basket,1.9001,"funding_ann=-1.556895; impact_spread=0.001505; volume24h=9840020; OI_notional=4840080",1h,4h,15m adverse excursion only,"MORPHO fails to outperform BTC/ETH after costs or near-depth is unacceptable","relative return vs BTC/ETH basket minus spread and simple taker-cost proxy"
move-carry-watch-long-20260609T2245Z,2026-06-09T22:45:18Z,crypto_perp,funding_carry_watch,paper_long,MOVE,BTC_ETH_basket,0.013903,"funding_ann=-4.123173; impact_spread=0.002230; volume24h=3952877; OI_notional=428226",1h,4h,15m adverse excursion only,"MOVE fails depth/cost sanity or does not outperform BTC/ETH after costs","relative return vs BTC/ETH basket minus spread and simple taker-cost proxy"
inj-carry-relative-long-20260609T2245Z,2026-06-09T22:45:18Z,crypto_perp,funding_relative_strength,paper_long,INJ,BTC_ETH_basket,5.5681,"funding_ann=-0.116575; spread_bps=4.4882; depth10=10819; volume24h=3062302",1h,4h,15m adverse excursion only,"INJ underperforms BTC/ETH after rough costs or visible depth deteriorates","relative return vs BTC/ETH basket minus spread and simple taker-cost proxy"
sol-clean-beta-long-20260609T2245Z,2026-06-09T22:45:18Z,crypto_perp,liquid_beta_rebound,paper_long,SOL,BTC_ETH_basket,65.1350,"funding_ann=-0.127928; spread_bps=0.1535; depth10=460892; volume24h=220799831",1h,4h,15m adverse excursion only,"SOL fails to outperform BTC/ETH in risk-on rebound or BTC/ETH falls sharply","relative return vs BTC/ETH basket minus spread and simple taker-cost proxy"
apt-carry-watch-long-20260609T2245Z,2026-06-09T22:45:18Z,crypto_perp,funding_carry_watch,paper_long,APT,BTC_ETH_basket,0.6661,"funding_ann=-0.047825; spread_bps=3.0012; depth10=15858; volume24h=2097316",1h,4h,15m adverse excursion only,"APT underperforms BTC/ETH after costs or liquidity worsens","relative return vs BTC/ETH basket minus spread and simple taker-cost proxy"
sei-carry-thin-watch-long-20260609T2245Z,2026-06-09T22:45:18Z,crypto_perp,thin_carry_watch,paper_long,SEI,BTC_ETH_basket,0.048234,"funding_ann=-0.384971; spread_bps=0.4145; depth10=13769; volume24h=992653; thin_volume_watch",1h,4h,15m adverse excursion only,"SEI fails volume/depth sanity or underperforms BTC/ETH after costs","relative return vs BTC/ETH basket minus spread and simple taker-cost proxy"
op-carry-depth-risk-long-20260609T2245Z,2026-06-09T22:45:18Z,crypto_perp,depth_risk_carry_watch,paper_long,OP,BTC_ETH_basket,0.09668,"funding_ann=-0.249575; spread_bps=7.2385; depth10=1839; volume24h=1629015; thin_near_depth_watch",1h,4h,15m adverse excursion only,"OP depth/cost blocks small paper repeat or it underperforms BTC/ETH","relative return vs BTC/ETH basket minus spread and simple taker-cost proxy"
hype-relative-weakness-short-20260609T2245Z,2026-06-09T22:45:18Z,crypto_perp,relative_weakness,paper_short,HYPE,BTC_ETH_basket,57.8170,"funding_ann=0.109500; spread_bps=0.3459; depth10=63122; volume24h=825422535",1h,4h,15m adverse excursion only,"HYPE regains relative strength vs BTC/ETH after costs","short return plus BTC/ETH-relative weakness minus spread and simple taker-cost proxy"
zro-relative-weakness-short-20260609T2245Z,2026-06-09T22:45:18Z,crypto_perp,relative_weakness,paper_short,ZRO,BTC_ETH_basket,0.8465,"funding_ann=0.266446; spread_bps=2.9527; depth10=7152; volume24h=3085569",1h,4h,15m adverse excursion only,"ZRO recovers relative to BTC/ETH or depth/cost blocks execution","short return plus BTC/ETH-relative weakness minus spread and simple taker-cost proxy"
