ticket_id,opened_at,previous_ticket_id,asset,opportunity,decision,candidate_size_usd,checkpoints,entry_mark,entry_source,estimated_net_after_cost_bps,required_record,next_step
repeat-repeat-paper-21-chip-microstructure-flow,2026-06-08T14:51:25+00:00,repeat-paper-21-chip-microstructure-flow,CHIP,chip_microstructure_flow_paper_probe,paper_long,100.00,"15m,1h",0.032564000000,hl_execution_context,330.56095991,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
repeat-repeat-paper-02-sui-repeat-execution,2026-06-08T09:49:38+00:00,repeat-paper-02-sui-repeat-execution,SUI,sui_okx_on_chain_flow_repeat_execution_gate,paper_long,1000,"15m,1h",0.752730000000,hl_execution_context,26.81331281,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
repeat-repeat-paper-26-sui-liquidation-intensity,2026-06-08T09:49:38+00:00,repeat-paper-26-sui-liquidation-intensity,SUI,sui_okx_liquidation_intensity_paper_gate,paper_long,100.00,"15m,1h",0.752730000000,hl_execution_context,26.81331281,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
repeat-repeat-paper-01-sui-repeat-execution,2026-06-08T09:49:38+00:00,repeat-paper-01-sui-repeat-execution,SUI,sui_hl_on_chain_flow_repeat_execution_gate,paper_long,1000,"15m,1h",0.752730000000,hl_execution_context,18.79061097,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
repeat-repeat-paper-19-sui-microstructure-flow,2026-06-08T09:49:38+00:00,repeat-paper-19-sui-microstructure-flow,SUI,sui_microstructure_flow_paper_probe,paper_long,100.00,"15m,1h",0.752730000000,hl_execution_context,18.79061097,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
repeat-repeat-paper-09-sol-volume-dislocation,2026-06-08T09:49:38+00:00,repeat-paper-09-sol-volume-dislocation,SOL,sol_volume_price_dislocation,paper_long,250,"15m,1h",66.215000000000,hl_execution_context,40.85015785,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
repeat-repeat-paper-20-mon-microstructure-flow,2026-06-08T14:51:25+00:00,repeat-paper-20-mon-microstructure-flow,MON,mon_microstructure_flow_paper_probe,paper_long,100.00,"15m,1h",0.022381000000,hl_execution_context,232.19323958,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
repeat-repeat-paper-46-zec-sector-rotation,2026-06-08T15:16:02+00:00,repeat-paper-46-zec-sector-rotation,ZEC,zec_privacy_sector_rotation_context,paper_long,,"15m,1h",442.700000000000,hyperliquid_snapshot,175.29965483,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
repeat-repeat-paper-44-zec-attention-event,2026-06-08T15:16:02+00:00,repeat-paper-44-zec-attention-event,ZEC,zec_attention_price_context,paper_long,,"15m,1h",442.700000000000,hyperliquid_snapshot,175.29965483,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
repeat-repeat-paper-23-zec-wallet-entity-flow,2026-06-08T15:16:02+00:00,repeat-paper-23-zec-wallet-entity-flow,ZEC,public_hypertracker_example_zec_wallet_flow_actionability,paper_long,,"15m,1h",442.700000000000,hyperliquid_snapshot,175.29965483,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
repeat-repeat-paper-20-link-volume-dislocation,2026-06-08T15:16:02+00:00,repeat-paper-20-link-volume-dislocation,LINK,link_volume_price_dislocation,paper_long,250,"15m,1h",8.092000000000,hyperliquid_snapshot,129.81423426,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
repeat-repeat-paper-09-fartcoin-volume-dislocation,2026-06-08T15:16:02+00:00,repeat-paper-09-fartcoin-volume-dislocation,FARTCOIN,fartcoin_volume_price_dislocation,paper_long,250,"15m,1h",0.119390000000,hyperliquid_snapshot,113.30025511,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
repeat-repeat-paper-03-sui-repeat-execution,2026-06-08T15:16:02+00:00,repeat-paper-03-sui-repeat-execution,SUI,sui_okx_on_chain_flow_repeat_execution_gate,paper_long,1000,"15m,1h",0.770000000000,hl_execution_context,111.34034522,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
repeat-repeat-paper-13-sol-volume-dislocation,2026-06-08T15:16:02+00:00,repeat-paper-13-sol-volume-dislocation,SOL,sol_volume_price_dislocation,paper_long,250,"15m,1h",67.495000000000,hl_execution_context,107.88394704,"repeat mark move, spread/fill assumption, funding, stop, adverse excursion",repeat this cost-adjusted paper probe and compare 15m/1h behavior against the first ticket
